id,reviews,score,cleanliness,communication,checkIn,accuracy,location,value
0,9,0,4,1,4,2,0,2
1,28,1,0,5,4,5,2,0
2,21,1,1,3,4,3,4,2
3,25,3,0,4,2,0,1,0
4,7,1,5,3,1,4,5,5
5,15,1,1,1,0,1,0,1
6,20,5,5,3,4,0,1,1
7,11,2,1,2,4,2,4,3
8,9,3,4,2,3,2,5,2
9,15,1,1,1,4,1,4,0
10,28,3,3,0,4,3,3,3
11,28,0,4,1,0,0,2,0
12,5,2,5,4,5,2,3,2
13,9,1,5,0,5,4,5,3
14,3,4,4,5,0,2,2,3
15,17,2,5,4,2,3,3,4
16,15,4,4,0,2,1,0,1
17,4,0,2,3,2,2,5,4
18,4,3,5,2,1,0,1,2
19,21,4,2,1,5,3,3,1
20,8,0,1,1,2,0,1,2
21,4,0,4,5,2,4,3,0
22,12,3,1,3,5,0,4,4
23,18,2,0,4,0,0,3,0
24,7,0,2,1,4,5,4,3
25,0,1,4,5,5,1,1,5
26,13,2,1,0,2,0,4,1
27,29,4,4,5,1,5,2,3
28,9,3,2,4,4,2,3,4
29,21,3,3,0,2,2,2,2
30,7,3,5,2,5,5,3,2
31,28,0,0,1,5,1,5,3
32,17,5,1,1,0,3,5,2
33,0,3,0,0,2,4,3,3
34,24,1,3,5,3,2,1,3
35,12,1,0,2,5,0,3,1
36,4,3,4,3,5,0,5,3
37,27,3,2,2,0,3,5,4
38,25,1,4,4,0,5,3,5
39,10,0,4,4,1,3,0,3
40,11,2,3,1,2,0,3,1
41,5,1,1,2,1,3,1,3
42,12,3,0,1,1,1,1,0
43,29,5,1,4,1,3,3,0
44,0,2,3,2,1,4,5,4
45,6,2,4,3,0,2,5,5
46,28,4,5,3,3,4,5,0
47,7,0,3,5,5,5,1,4
48,29,1,0,4,0,1,3,2
49,16,2,5,5,0,1,4,1
50,25,2,4,5,2,3,0,2
51,20,5,4,0,1,3,4,3
52,7,4,4,5,3,4,0,2
53,6,5,1,3,0,5,5,1
54,28,3,3,5,1,1,4,4
55,26,4,4,4,2,4,5,2
56,11,4,0,4,1,3,2,0
57,0,0,3,5,5,5,1,4
58,13,2,5,3,2,4,4,4
59,17,1,4,0,2,3,3,0
60,15,0,0,2,4,3,4,3
61,18,1,3,2,3,3,0,0
62,25,5,5,5,0,5,2,0
63,1,4,1,4,4,5,1,3
64,27,1,2,4,4,1,1,3
65,2,3,0,3,5,1,3,0
66,13,3,1,3,3,5,4,2
67,1,3,4,2,5,1,4,1
68,21,4,4,1,1,4,4,0
69,25,0,2,0,2,1,2,5
70,25,3,3,2,1,5,5,4
71,7,3,1,2,2,5,3,5
72,10,2,5,2,4,3,3,4
73,17,3,4,2,2,3,0,1
74,0,3,5,1,3,3,5,2
75,7,4,3,5,2,4,0,1
76,20,0,1,2,3,2,2,2
77,16,0,5,4,1,2,3,0
78,16,2,0,2,5,2,0,0
79,7,2,4,5,3,2,0,5
80,22,4,2,5,1,5,3,3
81,2,3,5,1,3,3,3,5
82,18,1,0,5,4,0,5,4
