reviews,score,cleanliness,communication,checkIn,accuracy,location,value,id,k
1,1,1,2,2,3,4,2,2000,2
7,0,1,3,0,2,3,2,2001,2
26,4,4,2,3,1,1,3,2002,2
1,1,5,2,1,5,4,3,2003,2
14,4,4,1,4,3,0,1,2004,2
24,0,4,3,3,1,0,0,2005,2
22,1,5,5,2,5,1,2,2006,2
22,5,2,4,4,4,1,0,2007,2
14,1,2,3,5,2,5,1,2008,2
16,1,5,2,5,3,1,1,2009,2
3,4,5,3,5,1,0,2,2010,2
18,1,2,0,1,3,4,1,2011,2
8,2,0,2,1,5,0,0,2012,2
7,0,0,0,3,0,5,5,2013,2
24,0,4,3,4,1,0,5,2014,2
0,2,3,0,4,4,0,2,2015,2
14,2,4,3,1,3,5,0,2016,2
15,1,2,5,1,5,4,3,2017,2
28,4,3,3,3,1,2,1,2018,2
26,2,0,5,4,4,5,5,2019,2
21,1,0,2,2,0,1,2,2020,2
27,2,2,0,0,3,0,2,2021,2
18,1,3,2,2,2,1,0,2022,2
8,0,4,5,3,2,1,1,2023,2
26,1,5,1,5,1,2,1,2024,2
21,1,3,3,1,2,1,3,2025,2
24,5,1,4,1,5,4,3,2026,2
20,0,1,4,2,2,3,0,2027,2
28,4,4,3,1,3,3,3,2028,2
7,0,1,5,1,3,0,4,2029,2
21,2,2,5,3,2,5,2,2030,2
12,5,2,1,4,4,1,2,2031,2
21,3,0,3,5,1,5,5,2032,2
4,3,5,4,1,2,0,4,2033,2
4,1,4,5,3,4,1,5,2034,2
18,0,3,2,0,5,3,4,2035,2
16,3,5,4,4,4,2,3,2036,2
14,3,4,0,0,4,4,2,2037,2
25,1,5,2,0,3,3,0,2038,2
24,3,1,4,3,4,4,1,2039,2
17,2,3,1,3,4,1,3,2040,2
4,0,2,1,4,2,5,3,2041,2
7,1,5,1,5,1,4,2,2042,2
19,0,2,2,1,1,1,5,2043,2
2,0,4,2,0,5,2,3,2044,2
17,4,5,4,3,1,2,2,2045,2
24,4,3,0,4,2,2,3,2046,2
27,4,0,1,0,0,4,1,2047,2
10,1,1,5,2,2,2,5,2048,2
30,4,5,4,3,4,3,2,2049,2
24,0,1,1,1,0,2,2,2050,2
0,3,5,1,4,2,0,3,2051,2
28,3,0,4,2,1,0,5,2052,2
16,0,0,0,5,5,2,1,2053,2
21,4,0,5,1,2,2,3,2054,2
1,4,1,0,0,3,3,4,2055,2
27,1,3,4,4,1,5,5,2056,2
29,4,3,5,0,1,3,2,2057,2
30,3,3,0,0,3,1,0,2058,2
10,5,3,5,0,2,5,2,2059,2
8,3,5,0,5,3,1,5,2060,2
2,1,4,5,1,5,0,5,2061,2
29,5,3,0,0,3,1,1,2062,2
15,2,0,0,4,1,1,1,2063,2
7,0,4,0,0,3,2,4,2064,2
25,1,0,0,5,2,3,0,2065,2
17,0,0,3,5,0,4,4,2066,2
30,1,3,5,0,4,0,5,2067,2
22,5,1,4,4,5,4,4,2068,2
26,2,4,0,1,1,2,5,2069,2
26,2,2,3,5,0,1,3,2070,2
